"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5735","test_form_submission_Invalid_data[data1]","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","7436","test_validate_email","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","5890","test_form_submission_Invalid_data[data3]","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","3087","test_blogs_page","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","3583","test_FAQs_page","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","5964","test_form_submission_Valid_data[data0]","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","4417","test_register_shop_form[Tech Haven-Alice Smith-alice@techhaven.com-1234567890-Hyderabad-Interested in features]","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","5348","test_Request_Demo_button","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","3612","test_features_page","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","4882","test_Get_Started_Now_button","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","2937","test_docs_page","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","3725","test_register_shop_form[Gourmet Bites-Charlie Brown-charlie@gourmet.com-5551234567-Bangalore-Need demo]","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","4268","test_signin_page","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","3138","test_ContactUs_page","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","5197","test_register_shop_form[Book Worms-Bob Jones-bob@bookworms.com-9876543210-Secunderabad-Can you help me setup?]","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","5790","test_form_submission_Valid_data[data1]","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","3799","test_Get_Started_button","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","4459","test_Home","Reports","2026-05-04","passed","2026-05-04","","Allure_report","",""
"","2927","test_signup_page","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","5783","test_form_submission_Invalid_data[data2]","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","5582","test_form_submission_Invalid_data[data0]","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","7752","test_pricing_page","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","7939","test_invalid_email","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
"","2027","test_HomePageTitle","TestCases","2026-05-04","passed","2026-05-04","Test_Website","test_Dashboard","",""
